recovery_player,recovery_player_id_first,time_to_attack_mean,time_to_attack_count,vert_progression_mean,vert_progression_sum,progression_speed_mean
A. Nildén,329585,3.0884,10,-0.9,-9.0,-0.3518787978092153
E. Kullberg,52772,4.5525714285714285,7,-1.2857142857142858,-9.0,-0.5167748900936873
F. Angeldahl,212489,3.3730142857142855,70,-0.4,-28.0,-0.3386679289352816
F. Rolfö,52410,3.2363552631578947,76,-3.513157894736842,-267.0,-1.3694382591065786
H. Bennison,566401,3.1046060606060606,33,-5.878787878787879,-194.0,-1.0248576504644757
H. Lundkvist,571908,3.5741969696969695,66,2.5454545454545454,168.0,1.4353013149662113
J. Andersson,52072,3.30714,50,-0.24,-12.0,21.479714296569135
J. Rytting Kaneryd,248585,4.164548387096774,62,0.46774193548387094,29.0,-0.20151307566258125
J. Zigiotti Olme,226313,3.6145487804878047,82,-0.7195121951219512,-59.0,1.1181383752528542
K. Asllani,52644,2.9393777777777776,45,-3.977777777777778,-179.0,-1.4099942686907598
L. Sembrant,52976,3.6693076923076924,26,3.423076923076923,89.0,1.4343123845265495
M. Eriksson,52012,2.7871714285714284,35,2.0,70.0,1.4684243620594024
M. Janogy,52663,5.1146666666666665,18,-6.055555555555555,-109.0,-1.4366894310151017
M. Vinberg,740964,4.2164375000000005,16,-8.375,-134.0,-1.5178504242489983
N. Björn,212490,2.5128,10,0.6,6.0,0.6657555080300683
P. Hammarlund,52990,2.7399999999999998,7,-7.142857142857143,-50.0,-2.3582872464514884
R. Blomqvist,271524,4.4684,5,-9.4,-47.0,-1.0850952847035618
R. Kafaji,675985,2.9125294117647056,17,-2.2941176470588234,-39.0,-0.27947790765868985
S. Blackstenius,248583,2.9219024390243904,41,-6.414634146341464,-263.0,-1.836534497914573
S. Jakobsson,102487,2.2224,10,-2.8,-28.0,-0.95116523450597
T. Eriksson,1064015,3.1900909090909093,11,5.0,55.0,3.2452659723026502
Z. Musovic,212349,3.438333333333333,3,11.0,33.0,3.2765339542675247
