match_id,match_date,recovery_time,recovery_x,recovery_y,recovery_player,recovery_player_id,time_to_attack,vert_progression,progression_speed,first_action_type,action_player
5674984,2025-02-25,220394,29.0,33.0,J. Zigiotti Olme,226313,3.016,10.0,3.315649867374005,pass,H. Bennison
5674984,2025-02-25,243149,90.0,80.0,S. Blackstenius,248583,9.918,-43.0,-4.335551522484372,pass,E. Kullberg
5674984,2025-02-25,356184,36.0,17.0,J. Zigiotti Olme,226313,9.712,-15.0,-1.5444810543657332,pass,A. Nildén
5674984,2025-02-25,358743,32.0,24.0,A. Nildén,329585,7.153,-11.0,-1.5378163008527892,pass,A. Nildén
5674984,2025-02-25,360380,23.0,38.0,E. Kullberg,52772,5.516,-2.0,-0.36258158085569253,pass,A. Nildén
5674984,2025-02-25,361863,21.0,34.0,E. Kullberg,52772,4.033,0.0,0.0,pass,A. Nildén
5674984,2025-02-25,383747,83.0,46.0,M. Vinberg,740964,9.035,-47.0,-5.201992252351965,pass,J. Falk
5674984,2025-02-25,385527,81.0,52.0,M. Vinberg,740964,7.255,-45.0,-6.202618883528601,pass,J. Falk
5674984,2025-02-25,386762,77.0,62.0,H. Bennison,566401,6.02,-41.0,-6.810631229235881,pass,J. Falk
5674984,2025-02-25,447033,61.0,75.0,F. Angeldahl,212489,3.206,14.0,4.366812227074236,pass,S. Blackstenius
5674984,2025-02-25,499312,58.0,90.0,H. Lundkvist,571908,3.447,1.0,0.2901073397156948,pass,H. Lundkvist
5674984,2025-02-25,501772,58.0,96.0,H. Lundkvist,571908,0.987,1.0,1.0131712259371835,pass,H. Lundkvist
5674984,2025-02-25,533187,66.0,51.0,F. Angeldahl,212489,2.799,1.0,0.35727045373347627,pass,F. Angeldahl
5674984,2025-02-25,551163,55.0,95.0,E. Kullberg,52772,5.882,9.0,1.5300918055083306,pass,F. Angeldahl
5674984,2025-02-25,554424,55.0,86.0,H. Bennison,566401,2.621,9.0,3.4338038916444105,pass,F. Angeldahl
5674984,2025-02-25,555881,60.0,66.0,M. Vinberg,740964,1.164,4.0,3.436426116838488,pass,F. Angeldahl
5674984,2025-02-25,641486,58.0,7.0,A. Nildén,329585,3.825,-21.0,-5.490196078431373,pass,M. Eriksson
5674984,2025-02-25,648138,58.0,3.0,M. Vinberg,740964,3.167,15.0,4.7363435427849705,pass,M. Vinberg
5674984,2025-02-25,699367,52.0,52.0,F. Angeldahl,212489,2.05,-1.0,-0.48780487804878053,pass,M. Vinberg
5674984,2025-02-25,771206,49.0,82.0,J. Zigiotti Olme,226313,9.811,-18.0,-1.8346753643869127,pass,E. Kullberg
5674984,2025-02-25,774546,61.0,84.0,,0,6.471,-30.0,-4.6360686138154845,pass,E. Kullberg
5674984,2025-02-25,777280,38.0,95.0,E. Kullberg,52772,3.737,-7.0,-1.873160289001873,pass,E. Kullberg
5674984,2025-02-25,778543,44.0,91.0,H. Lundkvist,571908,2.474,-13.0,-5.254648342764753,pass,E. Kullberg
5674984,2025-02-25,815468,65.0,6.0,M. Vinberg,740964,5.429,27.0,4.973291582243506,pass,M. Vinberg
5674984,2025-02-25,890412,59.0,77.0,H. Bennison,566401,0.597,-2.0,-3.3500837520938025,pass,H. Lundkvist
5674984,2025-02-25,895434,54.0,65.0,J. Zigiotti Olme,226313,2.563,-8.0,-3.1213421771361682,pass,J. Zigiotti Olme
5674984,2025-02-25,921570,87.0,82.0,J. Rytting Kaneryd,248585,0.599,6.0,10.01669449081803,pass,J. Rytting Kaneryd
5674984,2025-02-25,972763,81.0,79.0,,0,0.532,1.0,1.8796992481203008,pass,F. Angeldahl
5674984,2025-02-25,1002689,71.0,67.0,H. Bennison,566401,1.618,9.0,5.562422744128553,pass,F. Angeldahl
5674984,2025-02-25,1053127,42.0,28.0,J. Zigiotti Olme,226313,1.426,1.0,0.7012622720897616,pass,J. Zigiotti Olme
5674984,2025-02-25,1222551,30.0,93.0,F. Angeldahl,212489,0.406,-2.0,-4.926108374384236,pass,H. Lundkvist
5674984,2025-02-25,1248918,30.0,93.0,H. Lundkvist,571908,6.382,-5.0,-0.783453462864306,pass,H. Bennison
5674984,2025-02-25,1254752,26.0,97.0,H. Bennison,566401,0.548,-1.0,-1.824817518248175,pass,H. Bennison
5674984,2025-02-25,1259282,26.0,91.0,H. Bennison,566401,0.455,-1.0,-2.1978021978021975,pass,H. Bennison
5674984,2025-02-25,1260846,20.0,87.0,H. Lundkvist,571908,1.985,7.0,3.526448362720403,pass,H. Lundkvist
5674984,2025-02-25,1262487,24.0,85.0,H. Lundkvist,571908,0.344,3.0,8.72093023255814,pass,H. Lundkvist
5674984,2025-02-25,1309831,51.0,95.0,H. Lundkvist,571908,8.468,-19.0,-2.2437411431270666,pass,J. Rytting Kaneryd
5674984,2025-02-25,1313926,47.0,89.0,J. Rytting Kaneryd,248585,4.373,-15.0,-3.430139492339355,pass,J. Rytting Kaneryd
5674984,2025-02-25,1367626,80.0,45.0,H. Bennison,566401,0.145,3.0,20.689655172413794,pass,H. Bennison
5674984,2025-02-25,1452615,93.0,63.0,J. Rytting Kaneryd,248585,6.083,-2.0,-0.3287851389117212,pass,A. Nildén
5674984,2025-02-25,1482146,83.0,56.0,S. Blackstenius,248583,0.717,1.0,1.394700139470014,pass,S. Blackstenius
5674984,2025-02-25,1497887,73.0,69.0,F. Angeldahl,212489,1.141,2.0,1.7528483786152498,pass,F. Angeldahl
5674984,2025-02-25,1517626,76.0,86.0,E. Kullberg,52772,1.523,-2.0,-1.3131976362442548,pass,E. Kullberg
5674984,2025-02-25,1528994,95.0,89.0,H. Bennison,566401,2.929,-8.0,-2.7313076135199728,pass,H. Bennison
5674984,2025-02-25,1535322,81.0,90.0,H. Bennison,566401,2.295,-1.0,-0.4357298474945534,pass,H. Bennison
5674984,2025-02-25,1653845,89.0,11.0,A. Nildén,329585,1.139,9.0,7.9016681299385425,pass,A. Nildén
5674984,2025-02-25,1731897,40.0,89.0,J. Rytting Kaneryd,248585,3.274,3.0,0.916310323762981,pass,F. Angeldahl
5674984,2025-02-25,1734714,47.0,90.0,F. Angeldahl,212489,0.457,-4.0,-8.752735229759299,pass,F. Angeldahl
5674984,2025-02-25,1932675,22.0,97.0,J. Rytting Kaneryd,248585,2.041,-4.0,-1.9598236158745714,pass,J. Zigiotti Olme
5674984,2025-02-25,2137525,82.0,11.0,,0,6.469,2.0,0.30916679548616477,pass,M. Vinberg
5674984,2025-02-25,2142137,85.0,12.0,M. Vinberg,740964,1.857,-1.0,-0.5385029617662898,pass,M. Vinberg
5674984,2025-02-25,2142415,82.0,10.0,F. Angeldahl,212489,1.579,2.0,1.266624445851805,pass,M. Vinberg
5674984,2025-02-25,2149841,54.0,29.0,M. Eriksson,52012,5.609,6.0,1.0697093956141914,pass,H. Bennison
5674984,2025-02-25,2153496,60.0,29.0,H. Bennison,566401,1.954,0.0,0.0,pass,H. Bennison
5674984,2025-02-25,2180653,44.0,95.0,H. Lundkvist,571908,7.257,-22.0,-3.0315557392862065,pass,E. Kullberg
5674984,2025-02-25,2250864,94.0,50.0,S. Blackstenius,248583,0.282,0.0,0.0,shot,S. Blackstenius
5674984,2025-02-25,2302708,41.0,9.0,J. Zigiotti Olme,226313,4.842,6.0,1.2391573729863694,pass,M. Vinberg
5674984,2025-02-25,2305611,53.0,14.0,M. Vinberg,740964,1.939,-6.0,-3.0943785456420834,pass,M. Vinberg
5674984,2025-02-25,2410740,13.0,33.0,A. Nildén,329585,4.599,12.0,2.609262883235486,pass,M. Vinberg
5674984,2025-02-25,2411495,11.0,41.0,J. Zigiotti Olme,226313,3.844,14.0,3.6420395421436007,pass,M. Vinberg
5674984,2025-02-25,2413452,12.0,53.0,H. Lundkvist,571908,1.887,13.0,6.889242183359831,pass,M. Vinberg
5674984,2025-02-25,2564258,21.0,87.0,H. Lundkvist,571908,2.105,9.0,4.275534441805226,pass,J. Rytting Kaneryd
5674984,2025-02-25,2571165,22.0,94.0,H. Lundkvist,571908,1.872,-5.0,-2.6709401709401708,pass,H. Lundkvist
5674984,2025-02-25,2599679,76.0,49.0,S. Blackstenius,248583,9.359,-33.0,-3.526017736937707,pass,E. Kullberg
5674984,2025-02-25,2665480,58.0,77.0,H. Bennison,566401,5.252,0.0,0.0,pass,H. Bennison
5674984,2025-02-25,2668139,62.0,79.0,H. Bennison,566401,2.593,-4.0,-1.5426147319706904,pass,H. Bennison
5674984,2025-02-25,2742631,87.0,64.0,H. Bennison,566401,6.466,-59.0,-9.12465202598206,pass,M. Eriksson
5674984,2025-02-25,2744109,86.0,75.0,F. Angeldahl,212489,4.988,-58.0,-11.627906976744185,pass,M. Eriksson
5674984,2025-02-25,2759848,91.0,75.0,J. Rytting Kaneryd,248585,0.66,-63.0,-95.45454545454545,pass,E. Kullberg
5674984,2025-02-25,2764177,91.0,92.0,,0,0.363,2.0,5.5096418732782375,pass,J. Rytting Kaneryd
5674984,2025-02-25,2771845,93.0,55.0,S. Blackstenius,248583,7.818,-24.0,-3.0698388334612434,pass,M. Eriksson
5674984,2025-02-25,2771845,93.0,53.0,S. Blackstenius,248583,7.818,-24.0,-3.0698388334612434,pass,M. Eriksson
5674984,2025-02-25,2782706,73.0,59.0,H. Bennison,566401,0.944,3.0,3.1779661016949152,pass,H. Bennison
5674984,2025-02-25,2711397,57.0,75.0,F. Angeldahl,212489,0.298,0.0,0.0,pass,F. Angeldahl
5674984,2025-02-25,2817338,63.0,67.0,J. Zigiotti Olme,226313,1.462,4.0,2.735978112175103,pass,H. Bennison
5674984,2025-02-25,2834034,88.0,86.0,H. Bennison,566401,9.353,-37.0,-3.9559499625788517,pass,E. Kullberg
5674984,2025-02-25,2844573,62.0,89.0,H. Bennison,566401,1.433,-6.0,-4.18702023726448,pass,E. Kullberg
5674984,2025-02-25,2913857,73.0,98.0,J. Rytting Kaneryd,248585,6.575,2.0,0.3041825095057034,pass,H. Bennison
5674984,2025-02-25,2921494,81.0,62.0,S. Blackstenius,248583,1.184,2.0,1.6891891891891893,pass,S. Blackstenius
5674984,2025-02-25,2943490,99.0,67.0,J. Rytting Kaneryd,248585,5.978,-29.0,-4.851120776179324,pass,J. Zigiotti Olme
5674984,2025-02-25,2954196,94.0,83.0,F. Angeldahl,212489,5.514,-11.0,-1.9949220166848023,pass,F. Angeldahl
5674984,2025-02-25,3022704,29.0,18.0,M. Eriksson,52012,0.979,5.0,5.107252298263535,pass,M. Eriksson
5674984,2025-02-25,3332878,91.0,79.0,J. Rytting Kaneryd,248585,0.852,6.0,7.042253521126761,pass,J. Rytting Kaneryd
5674984,2025-02-25,3378342,33.0,94.0,H. Lundkvist,571908,1.582,9.0,5.689001264222503,pass,J. Rytting Kaneryd
5674984,2025-02-25,3390237,45.0,86.0,J. Rytting Kaneryd,248585,2.549,-4.0,-1.569242840329541,pass,J. Rytting Kaneryd
5674984,2025-02-25,3397267,41.0,73.0,H. Bennison,566401,8.123,4.0,0.4924289055767574,free_kick,
5674984,2025-02-25,3510975,12.0,15.0,M. Vinberg,740964,5.231,0.0,0.0,pass,M. Vinberg
5674984,2025-02-25,3513289,3.0,43.0,M. Eriksson,52012,2.917,9.0,3.085361672951663,pass,M. Vinberg
5674984,2025-02-25,3615657,71.0,87.0,J. Rytting Kaneryd,248585,4.902,-1.0,-0.2039983680130559,pass,J. Zigiotti Olme
5674984,2025-02-25,3673222,95.0,57.0,J. Zigiotti Olme,226313,0.302,2.0,6.622516556291391,shot,J. Zigiotti Olme
5674984,2025-02-25,3863624,83.0,63.0,K. Asllani,52644,3.214,-4.0,-1.2445550715619167,pass,H. Lundkvist
5674984,2025-02-25,3875146,90.0,40.0,S. Blackstenius,248583,4.288,-9.0,-2.0988805970149254,pass,R. Blomqvist
5674984,2025-02-25,3877807,89.0,33.0,A. Nildén,329585,1.627,-8.0,-4.917025199754149,pass,R. Blomqvist
5674984,2025-02-25,3976979,13.0,17.0,E. Kullberg,52772,2.657,-3.0,-1.1290929619872037,pass,E. Kullberg
5674984,2025-02-25,4181308,57.0,74.0,H. Lundkvist,571908,3.105,-14.0,-4.508856682769726,pass,A. Nildén
5674984,2025-02-25,4248187,75.0,47.0,F. Angeldahl,212489,1.826,-1.0,-0.547645125958379,pass,F. Angeldahl
5674984,2025-02-25,4338628,67.0,93.0,H. Lundkvist,571908,1.582,10.0,6.321112515802781,pass,F. Angeldahl
5674984,2025-02-25,4370638,86.0,70.0,K. Asllani,52644,1.028,0.0,0.0,pass,K. Asllani
5674984,2025-02-25,4594724,65.0,84.0,J. Rytting Kaneryd,248585,9.815,1.0,0.10188487009679063,pass,F. Angeldahl
5674984,2025-02-25,4596491,58.0,87.0,H. Lundkvist,571908,8.048,8.0,0.9940357852882704,pass,F. Angeldahl
5674984,2025-02-25,4863836,47.0,89.0,J. Rytting Kaneryd,248585,3.02,-5.0,-1.6556291390728477,pass,J. Rytting Kaneryd
5674984,2025-02-25,4865851,45.0,92.0,J. Rytting Kaneryd,248585,1.005,-3.0,-2.985074626865672,pass,J. Rytting Kaneryd
5674984,2025-02-25,4875385,37.0,81.0,E. Kullberg,52772,8.52,-4.0,-0.4694835680751174,pass,A. Nildén
5674984,2025-02-25,4877303,44.0,71.0,F. Angeldahl,212489,6.602,-11.0,-1.6661617691608603,pass,A. Nildén
5674984,2025-02-25,4880079,36.0,45.0,M. Eriksson,52012,3.826,-3.0,-0.7841087297438578,pass,A. Nildén
5674984,2025-02-25,4977658,43.0,46.0,F. Angeldahl,212489,6.786,8.0,1.1788977306218686,free_kick,H. Bennison
5674984,2025-02-25,5034026,66.0,14.0,J. Andersson,52072,4.347,17.0,3.9107430411778235,shot,K. Asllani
5674984,2025-02-25,5061531,89.0,24.0,K. Asllani,52644,0.443,2.0,4.514672686230249,pass,K. Asllani
5674984,2025-02-25,5068629,51.0,8.0,M. Eriksson,52012,3.292,-12.0,-3.6452004860267317,pass,E. Kullberg
5674984,2025-02-25,5085928,67.0,14.0,H. Bennison,566401,1.512,6.0,3.9682539682539684,pass,R. Blomqvist
5674984,2025-02-25,5094514,79.0,27.0,K. Asllani,52644,8.414,-17.0,-2.020442120275731,pass,H. Bennison
5674984,2025-02-25,5098891,65.0,2.0,J. Andersson,52072,4.037,-3.0,-0.7431260837255388,pass,H. Bennison
5674984,2025-02-25,5112605,66.0,83.0,S. Jakobsson,102487,1.34,2.0,1.4925373134328357,pass,S. Jakobsson
5674984,2025-02-25,5170304,64.0,96.0,H. Lundkvist,571908,7.496,-42.0,-5.602988260405549,pass,E. Kullberg
5674984,2025-02-25,5172829,58.0,91.0,H. Lundkvist,571908,4.971,-36.0,-7.24200362100181,pass,E. Kullberg
5674984,2025-02-25,5218544,11.0,15.0,J. Andersson,52072,5.96,-8.0,-1.342281879194631,pass,S. Jakobsson
5674984,2025-02-25,5222152,3.0,55.0,H. Lundkvist,571908,2.352,0.0,0.0,pass,S. Jakobsson
5674984,2025-02-25,5227245,19.0,71.0,K. Asllani,52644,3.235,-1.0,-0.3091190108191654,free_kick,K. Asllani
5674984,2025-02-25,5265510,69.0,93.0,H. Lundkvist,571908,2.65,-12.0,-4.528301886792453,pass,E. Kullberg
5674984,2025-02-25,5352568,45.0,87.0,H. Lundkvist,571908,2.165,8.0,3.695150115473441,pass,S. Jakobsson
5674984,2025-02-25,5432722,92.0,55.0,M. Eriksson,52012,1.789,4.0,2.2358859698155396,pass,S. Jakobsson
